Expires,Strikes,Prices,CP,ValueDate,Underlying,Spot,ATM strike,Interest Rate
22/12/2017,2605,74.5,1,15/12/2017,SPX,2675.81,2680,1.50%
22/12/2017,2615,52.55,1,,,,,
22/12/2017,2620,59.98,1,,,,,
22/12/2017,2630,46.89,1,,,,,
22/12/2017,2635,45.82,1,,,,,
22/12/2017,2640,41.8,1,,,,,
22/12/2017,2640,41.8,1,,,,,
22/12/2017,2645,31.9,1,,,,,
22/12/2017,2650,31,1,,,,,
22/12/2017,2655,24.47,1,,,,,
22/12/2017,2660,19.15,1,,,,,
22/12/2017,2665,20.15,1,,,,,
22/12/2017,2665,20.15,1,,,,,
22/12/2017,2670,15.5,1,,,,,
22/12/2017,2675,12.2,1,,,,,
22/12/2017,2680,9.4,1,,,,,
22/12/2017,2680,9.5,-1,,,,,
22/12/2017,2690,5.3,1,,,,,
22/12/2017,2695,3.65,1,,,,,
22/12/2017,2710,0.9,1,,,,,
29/12/2017,2580,100.9,1,,,,,
29/12/2017,2600,0,1,,,,,
29/12/2017,2610,72.4,1,,,,,
29/12/2017,2615,65.1,1,,,,,
29/12/2017,2625,58.46,1,,,,,
29/12/2017,2630,53.85,1,,,,,
29/12/2017,2640,42.7,1,,,,,
29/12/2017,2645,36.8,1,,,,,
29/12/2017,2650,33.5,1,,,,,
29/12/2017,2655,28.6,1,,,,,
29/12/2017,2660,26.5,1,,,,,
29/12/2017,2665,22.4,1,,,,,
29/12/2017,2670,20.59,1,,,,,
29/12/2017,2680,14.9,1,,,,,
29/12/2017,2680,16.4,-1,,,,,
29/12/2017,2685,10.6,1,,,,,
29/12/2017,2695,7.36,1,,,,,
29/12/2017,2700,5.8,1,,,,,
29/12/2017,2715,2.05,1,,,,,
29/12/2017,2730,0.9,1,,,,,
05/01/2018,2565,0,1,,,,,
05/01/2018,2585,82.35,1,,,,,
05/01/2018,2600,85,1,,,,,
05/01/2018,2610,74,1,,,,,
05/01/2018,2620,66.01,1,,,,,
05/01/2018,2625,58.5,1,,,,,
05/01/2018,2635,51.5,1,,,,,
05/01/2018,2640,47.96,1,,,,,
05/01/2018,2650,36.4,1,,,,,
05/01/2018,2655,30.85,1,,,,,
05/01/2018,2660,31.3,1,,,,,
05/01/2018,2670,22.15,1,,,,,
05/01/2018,2675,20.5,1,,,,,
05/01/2018,2685,12.95,1,,,,,
05/01/2018,2695,8.23,1,,,,,
05/01/2018,2700,8.6,1,,,,,
05/01/2018,2715,4.78,1,,,,,
05/01/2018,2725,2.4,1,,,,,
05/01/2018,2745,1.3,1,,,,,
12/01/2018,2545,0,1,,,,,
12/01/2018,2570,0,1,,,,,
12/01/2018,2585,100.87,1,,,,,
12/01/2018,2600,84.5,1,,,,,
12/01/2018,2610,71.5,1,,,,,
12/01/2018,2620,64.3,1,,,,,
12/01/2018,2630,54.1,1,,,,,
12/01/2018,2640,48.6,1,,,,,
12/01/2018,2645,46.35,1,,,,,
12/01/2018,2655,36.5,1,,,,,
12/01/2018,2665,27.41,1,,,,,
12/01/2018,2675,20.5,1,,,,,
12/01/2018,2680,20,1,,,,,
12/01/2018,2680,22.75,-1,,,,,
12/01/2018,2690,13.15,1,,,,,
12/01/2018,2700,10.95,1,,,,,
12/01/2018,2715,6.78,1,,,,,
12/01/2018,2725,3.72,1,,,,,
12/01/2018,2745,1.8,1,,,,,
12/01/2018,2770,0.81,1,,,,,
19/01/2018,2535,138,1,,,,,
19/01/2018,2560,0,1,,,,,
19/01/2018,2580,102.77,1,,,,,
19/01/2018,2595,94.18,1,,,,,
19/01/2018,2605,74.1,1,,,,,
19/01/2018,2615,75.7,1,,,,,
19/01/2018,2625,64.6,1,,,,,
19/01/2018,2635,57.4,1,,,,,
19/01/2018,2645,48.8,1,,,,,
19/01/2018,2655,41.25,1,,,,,
19/01/2018,2665,34.07,1,,,,,
19/01/2018,2675,23.4,1,,,,,
19/01/2018,2685,20.76,1,,,,,
19/01/2018,2695,16.3,1,,,,,
19/01/2018,2705,12.14,1,,,,,
19/01/2018,2720,7.7,1,,,,,
19/01/2018,2735,3.9,1,,,,,
19/01/2018,2755,2,1,,,,,
19/01/2018,2780,1.2,1,,,,,
26/01/2018,2520,0,1,,,,,
26/01/2018,2550,119.46,1,,,,,
26/01/2018,2570,107,1,,,,,
26/01/2018,2585,0,1,,,,,
26/01/2018,2600,83.7,1,,,,,
26/01/2018,2610,79.5,1,,,,,
26/01/2018,2625,66.1,1,,,,,
26/01/2018,2635,58,1,,,,,
26/01/2018,2645,52.52,1,,,,,
26/01/2018,2655,45.23,1,,,,,
26/01/2018,2665,37.15,1,,,,,
26/01/2018,2680,24.7,1,,,,,
26/01/2018,2680,25,-1,,,,,
26/01/2018,2690,21.6,1,,,,,
26/01/2018,2700,16.2,1,,,,,
26/01/2018,2715,10.84,1,,,,,
26/01/2018,2730,7.15,1,,,,,
26/01/2018,2745,4.43,1,,,,,
26/01/2018,2770,1.85,1,,,,,
26/01/2018,2800,1.1,1,,,,,
02/02/2018,2510,0,1,,,,,
02/02/2018,2540,0,1,,,,,
02/02/2018,2565,0,1,,,,,
02/02/2018,2580,0,1,,,,,
02/02/2018,2595,0,1,,,,,
02/02/2018,2610,0,1,,,,,
02/02/2018,2620,0,1,,,,,
02/02/2018,2635,55.6,1,,,,,
02/02/2018,2645,0,1,,,,,
02/02/2018,2655,43.55,1,,,,,
02/02/2018,2670,33.1,1,,,,,
02/02/2018,2680,31.1,1,,,,,
